,UNIVERSITY NAME: ,UNIVERSITY CONTACT DETAILS AND EMAIL(acc to given details):],NAME OF DEPARTMENT:
1,"49. Georgetown University
Department of Computer Science","
EMORY HOMECONTACTSEMERGENCYCAREERSGIVE TO EMORYABOUT EMORY'S WEBCopyright © 2017 Emory University - All Rights Reserved | 201 Dowman Drive, Atlanta, Georgia 30322 USA 404.727.6123
",Department of Computer Science
2,"48. Northwestern University
Computer Science Department ","







Department of Computer Science

Saint Mary's Hall - Room 335

37th and O Streets, NW

Washington
DC
20057-1232



Phone: (202) 687-5874





Maps


Copyright


Privacy


Accessibility


Full Site Menu







",Computer Science Department 
3,"47. Case Western Reserve University
Electrical, Computer, and Systems Engineering","Northwestern SealComputer ScienceMcCormick School of Engineering, 
						
						Northwestern UniversityMudd Hall2233 Tech Drive, Third Floor, Evanston, IL 60208Phone: 847-491-3500  |  EmailView all department contact infoUndergraduateGraduateResearchFacultyCS+XNews & EventsMcCormick on TwitterMcCormick on FacebookMcCormick on LinkedInMcCormick on YouTube
                     © 
                    
					
					2021 Robert R. McCormick School of Engineering and Applied Science, Northwestern University   
                    
					
					Disclaimer","Electrical, Computer, and Systems Engineering"
4,None,None,None
5,None,None,None
6,"44. Indiana University
School of Informatics, Computing, and Engineering","


                  12:00AM                

Winter Term 2021 

                  no location                


Winter term ends 
","School of Informatics, Computing, and Engineering"
7,"43. University of Utah
School of Computing","






Accessibility | Privacy Notice

 | 
Copyright © 2021 The Trustees of 
Indiana University



",School of Computing
8,"42. University of Illinois at Chicago
Department of Computer Science","


Most Visited

Faculty
Admissions
Research
Graduate Program
Undergraduate Program
Calendar

 


Contact



							                            Room 3190, 50 Central Campus Dr.
                            Salt Lake City, UT 84112

                          						  (801) 581-8224
                          							Fax: (801) 581-5843
Email

 


Social Media
 






Disclaimer
Privacy Policy
Nondiscrimination Statement
Computer Support
Internal Resources

 
",Department of Computer Science
9,"41. Rutgers University
Department of Computer Science ","

































Footer Menu


Undergraduate Resources


Graduate Resources


Faculty Resources


ABET Accreditation






Social Media Accounts





Facebook













Linked In












Twitter


















Instagram















YouTube













Contact
 For CS student and faculty inquiries, contact:
851 S. Morgan St., 11th Floor SEO, Chicago, IL 60607
Phone: (312) 996-3422
cs-info@uic.edu

 








UIC.edu links

UIC.edu
Academic Calendar
Athletics
Campus Directory
Disability Resources
Emergency Information
Event Calendar
Job Openings
Library
Maps
UIC Safe Mobile App
UIC Today
UI Health
Veterans Affairs





Cookie Settings







Powered by Red 3.0.2

  © 2021 The Board of Trustees of the University of Illinois |
Privacy Statement


Campuses

University of Illinois System
Urbana-Champaign
Springfield




",Department of Computer Science 
10,"40. Brown University
Computer Science Department","








HomeSite MapSearchLogin













Back to Top


Copyright 2021, Rutgers, The State University of New Jersey. All rights reserved.
						Rutgers is an equal access/equal opportunity institution. Individuals with disabilities are encouraged to direct suggestions, comments, or complaints concerning any accessibility issues with Rutgers web sites to: accessibility@rutgers.edu or complete the Report Accessibility Barrier or Provide Feedback Form.




",Computer Science Department
11,None,None,None
12,"38. University of Minnesota
Department of Computer Science and Engineering ","
 


Yale University



Copyright © 2021 Yale University · All rights reserved ·
      Privacy policy




Accessibility at Yale










Facebook
Twitter
Instagram
 





",Department of Computer Science and Engineering 
13,"37. University of North Carolina at Chapel Hill
Department of Computer Science","








Department of Computer Science & Engineering
Due to UMN's move to virtual operations, the staff in the CS&E office is currently working remotely. To reach us, please email csdesk@umn.edu or call (612) 625-4002.
4-192 Keller Hall
200 Union Street SE, Minneapolis, MN 55455
(612) 625-4002     csdesk@umn.edu
CS&E INTRANETWebsite change form Submit CS&E news






Contact info


Admin forms


Directory update form


Employment


Grants management


CS&E Intranet
























",Department of Computer Science
